unique_cells,mean_cosine_distance,mean_p_value
404,0.0098,0.5453
220,0.0113,0.4026
78,0.0079,0.4502
70,0.009,0.5746
68,0.011,0.4157
64,0.0088,0.4529
33,0.0047,0.5796
3,0.0048,0.7512
1,0.0455,0.4225
1,0.0088,0.2171
1,0.0039,0.2767
1,0.0203,0.5125
1,0.0866,0.292
1,0.0106,0.4514
1,0.0058,0.5733
1,0.0007,0.36
1,0.0086,0.5211
1,0.0018,0.5032
1,0.0053,0.256
1,0.0026,0.3067
1,0.0013,0.275
1,0.0249,0.4475
1,0.0031,0.3533
1,0.0022,0.6473
1,0.0037,0.2778
1,0.033,0.465
1,0.0321,0.22
1,0.0011,0.5888
1,0.0441,0.4706
1,0.0013,0.4289
1,0.0113,0.4089
1,0.0006,0.574
1,0.001,0.536
1,0.0206,0.352
1,0.047,0.3517
1,0.0015,0.4042
1,0.0804,0.4215
1,0.0029,0.4086
1,0.0046,0.5031
1,0.0086,0.7111
1,0.0007,0.4644
1,0.0013,0.5525
1,0.0009,0.3927
1,0.0024,0.5
1,0.0015,0.3253
1,0.0011,0.492
1,0.0159,0.7095
1,0.0057,0.6575
1,0.0022,0.4769
1,0.0014,0.3976
1,0.0011,0.7185
1,0.0025,0.41
1,0.0017,0.5533
1,0.0056,0.5141
1,0.0011,0.23
1,0.0231,0.48
1,0.0193,0.4126
1,0.0027,0.6109
