gene,score
CADM2,0.003398959078729564
NRXN1,0.0028714750209888258
NLGN1,0.0017194406165077307
NEGR1,0.00093014117567339
TCF4,0.0008617969331925099
MEF2C,0.0007748156274130557
APP,0.0005386475354699031
GRIN2A,0.0005284896360440044
GRIN2B,0.00047882228046991303
MAPT,0.00037053070094837486
SCN1A,0.0003167997404469226
DISC1,0.00023451930383925818
FOXO3,0.00021501299040508883
CAMK2A,0.00012646285312649212
HOMER1,0.00011036148966796931
CREB1,8.534126854386948e-05
COMT,4.0274423433541676e-05
SHANK3,3.597928959241963e-05
FMR1,3.288229139731818e-05
SYN1,2.4822165921456215e-05
BDNF,7.94075168381372e-06
SLC6A4,9.418029154788526e-07
