gene,n_cells,mean_cosine_distance,std_cosine_distance,mean_null_distance,effect_size,median_empirical_p,min_p,fdr
MEF2C,58,0.014808951,0.024674384,0.010168421,0.00464053,0.3064516129032258,0.03225806451612903,0.6290322580645162
NEGR1,77,0.011052782,0.023258163,0.0075952,0.0034575816,0.3870967741935484,0.03225806451612903,0.6290322580645162
SHANK3,34,0.01792937,0.02814467,0.014954974,0.0029743956,0.33870967741935487,0.03225806451612903,0.6290322580645162
HOMER1,53,0.009585657,0.018714247,0.0067925924,0.0027930648,0.2903225806451613,0.03225806451612903,0.6290322580645162
GRIN2A,62,0.009387386,0.018132713,0.0066506327,0.0027367533,0.3225806451612903,0.03225806451612903,0.6290322580645162
CAMK2A,44,0.010180229,0.02019405,0.0076094656,0.0025707637,0.3709677419354839,0.03225806451612903,0.6290322580645162
GRIN2B,50,0.009056943,0.017805124,0.0065728556,0.002484087,0.2903225806451613,0.03225806451612903,0.6290322580645162
NRXN1,73,0.009164754,0.01752024,0.007081086,0.0020836685,0.3548387096774194,0.03225806451612903,0.6290322580645162
CADM2,136,0.011332599,0.022876974,0.0096492665,0.001683333,0.41935483870967744,0.03225806451612903,0.6290322580645162
APP,118,0.011187938,0.022642804,0.009553686,0.0016342523,0.3548387096774194,0.03225806451612903,0.6290322580645162
BDNF,7,0.013337987,0.019985985,0.012348972,0.0009890143,0.12903225806451613,0.03225806451612903,0.6290322580645162
DISC1,28,0.009922287,0.025424896,0.008989168,0.0009331191,0.5483870967741935,0.03225806451612903,0.6397849462365591
MAPT,113,0.009760616,0.02079139,0.009035511,0.0007251054,0.41935483870967744,0.03225806451612903,0.6290322580645162
SCN1A,50,0.008738358,0.015943622,0.0082209995,0.0005173581,0.41935483870967744,0.03225806451612903,0.6290322580645162
NLGN1,113,0.009390282,0.019493189,0.008890587,0.00049969554,0.41935483870967744,0.03225806451612903,0.6290322580645162
CREB1,45,0.0101569975,0.023559371,0.010566119,-0.00040912163,0.6129032258064516,0.03225806451612903,0.6774193548387096
TCF4,128,0.008778451,0.021146635,0.010162569,-0.0013841176,0.5161290322580645,0.03225806451612903,0.6375711574952562
FOXO3,76,0.008892077,0.0189402,0.011833271,-0.002941194,0.5161290322580645,0.03225806451612903,0.6375711574952562
SYN1,22,0.009067107,0.017086878,0.012320134,-0.0032530269,0.467741935483871,0.03225806451612903,0.6375711574952562
FMR1,28,0.0026846316,0.0071824794,0.0073473603,-0.004662729,0.7096774193548387,0.12903225806451613,0.7419354838709677
COMT,10,0.00095735193,0.00086659804,0.0072442843,-0.006286932,0.7419354838709677,0.3870967741935484,0.7419354838709677
