cell_idx,cell_type,gene,cosine_distance,p_value,null_mean,gene_in_cell,n_tokens
213,glutamatergic neuron,NRXN1,0.0018584132,0.3870967741935484,0.0016470035,True,2048
213,glutamatergic neuron,NLGN1,0.0019162893,0.3548387096774194,0.0016892592,True,2048
213,glutamatergic neuron,NEGR1,0.0022761822,0.06451612903225806,0.004668973,True,2048
213,glutamatergic neuron,TCF4,0.002007544,0.25806451612903225,0.001657629,True,2048
213,glutamatergic neuron,MEF2C,0.0017259121,0.5806451612903226,0.0015954971,True,2048
213,glutamatergic neuron,APP,0.000751853,0.9354838709677419,0.0016607841,True,2048
213,glutamatergic neuron,GRIN2B,0.0019543767,0.3870967741935484,0.0016413868,True,2048
213,glutamatergic neuron,MAPT,0.0019479394,0.25806451612903225,0.001582392,True,2048
213,glutamatergic neuron,SCN1A,0.0019327998,0.3548387096774194,0.0015708149,True,2048
213,glutamatergic neuron,FOXO3,0.001671195,0.5806451612903226,0.0018926482,True,2048
213,glutamatergic neuron,CAMK2A,0.0019662976,0.1935483870967742,0.001472201,True,2048
213,glutamatergic neuron,HOMER1,0.0021398664,0.0967741935483871,0.0015258968,True,2048
214,pvalb GABAergic cortical interneuron,NRXN1,0.00024718046,0.8064516129032258,0.0016282459,True,2048
214,pvalb GABAergic cortical interneuron,TCF4,0.0028639436,0.06451612903225806,0.0015753707,True,2048
214,pvalb GABAergic cortical interneuron,MEF2C,0.0024719834,0.16129032258064516,0.0017951786,True,2048
214,pvalb GABAergic cortical interneuron,APP,0.0024887323,0.0967741935483871,0.0015499175,True,2048
214,pvalb GABAergic cortical interneuron,GRIN2A,0.0029845238,0.06451612903225806,0.0015236418,True,2048
214,pvalb GABAergic cortical interneuron,GRIN2B,0.0020383596,0.41935483870967744,0.0018237869,True,2048
214,pvalb GABAergic cortical interneuron,MAPT,0.002222836,0.22580645161290322,0.0017893413,True,2048
214,pvalb GABAergic cortical interneuron,SCN1A,0.0026434064,0.0967741935483871,0.002199332,True,2048
214,pvalb GABAergic cortical interneuron,CREB1,0.002225399,0.3225806451612903,0.0017630975,True,2048
215,astrocyte,NRXN1,0.0015867352,0.16129032258064516,0.0010145486,True,2048
215,astrocyte,MAPT,0.0006181598,0.5161290322580645,0.0009583791,True,2048
215,astrocyte,FOXO3,0.0006799698,0.5161290322580645,0.00080119766,True,2048
215,astrocyte,CREB1,0.00026011467,0.9354838709677419,0.0009762049,True,2048
216,oligodendrocyte,CADM2,0.1180827,0.06451612903225806,0.06909704,True,2048
216,oligodendrocyte,NLGN1,0.10759246,0.3225806451612903,0.08284522,True,2048
216,oligodendrocyte,TCF4,0.102329135,0.45161290322580644,0.07854679,True,2048
216,oligodendrocyte,APP,0.112008154,0.3225806451612903,0.083114095,True,2048
216,oligodendrocyte,MAPT,0.0003527999,0.8064516129032258,0.068055265,True,2048
216,oligodendrocyte,DISC1,0.11397928,0.25806451612903225,0.073036335,True,2048
216,oligodendrocyte,FOXO3,0.095739484,0.7419354838709677,0.07938855,True,2048
216,oligodendrocyte,CREB1,0.00038808584,0.7741935483870968,0.08228884,True,2048
216,oligodendrocyte,COMT,0.109633386,0.2903225806451613,0.06407968,True,2048
216,oligodendrocyte,SHANK3,0.11513585,0.25806451612903225,0.09059431,True,2048
217,glutamatergic neuron,CADM2,0.0037676692,0.6451612903225806,0.0034167806,True,2048
217,glutamatergic neuron,NRXN1,0.004055381,0.1935483870967742,0.0032443167,True,2048
217,glutamatergic neuron,NLGN1,0.003901422,0.3870967741935484,0.0033306996,True,2048
217,glutamatergic neuron,NEGR1,0.004045427,0.1935483870967742,0.0033646007,True,2048
217,glutamatergic neuron,TCF4,0.0039229393,0.3870967741935484,0.0033043723,True,2048
217,glutamatergic neuron,MEF2C,0.0039401054,0.3870967741935484,0.0035249512,True,2048
217,glutamatergic neuron,APP,0.0043839216,0.06451612903225806,0.0029248258,True,2048
217,glutamatergic neuron,GRIN2A,0.0040649176,0.16129032258064516,0.0033409833,True,2048
217,glutamatergic neuron,GRIN2B,0.0043114424,0.03225806451612903,0.0035829782,True,2048
217,glutamatergic neuron,MAPT,0.0039705634,0.3548387096774194,0.0031214396,True,2048
217,glutamatergic neuron,SCN1A,0.003972113,0.3225806451612903,0.0034938455,True,2048
217,glutamatergic neuron,FOXO3,0.0029908419,0.7741935483870968,0.0033994555,True,2048
217,glutamatergic neuron,CAMK2A,0.0039363503,0.41935483870967744,0.003209267,True,2048
217,glutamatergic neuron,HOMER1,0.0039277673,0.4838709677419355,0.0034358085,True,2048
218,glutamatergic neuron,CADM2,0.057283044,0.12903225806451613,0.052752018,True,2048
218,glutamatergic neuron,NRXN1,0.055775523,0.25806451612903225,0.053069767,True,2048
218,glutamatergic neuron,NLGN1,0.05069667,0.967741935483871,0.05309367,True,2048
218,glutamatergic neuron,NEGR1,0.05618906,0.0967741935483871,0.051775616,True,2048
218,glutamatergic neuron,TCF4,0.05144155,0.9354838709677419,0.05268539,True,2048
218,glutamatergic neuron,MEF2C,0.05624342,0.12903225806451613,0.052276786,True,2048
218,glutamatergic neuron,APP,0.05563438,0.22580645161290322,0.053783853,True,2048
218,glutamatergic neuron,GRIN2A,0.05792868,0.03225806451612903,0.05343124,True,2048
218,glutamatergic neuron,GRIN2B,0.05523449,0.16129032258064516,0.050354324,True,2048
218,glutamatergic neuron,MAPT,0.058170497,0.03225806451612903,0.052159872,True,2048
218,glutamatergic neuron,SCN1A,0.055946052,0.16129032258064516,0.048521336,True,2048
218,glutamatergic neuron,FOXO3,0.00024914742,1.0,0.05154912,True,2048
218,glutamatergic neuron,CAMK2A,0.06016743,0.03225806451612903,0.050684445,True,2048
218,glutamatergic neuron,HOMER1,0.05677241,0.1935483870967742,0.052040815,True,2048
218,glutamatergic neuron,SHANK3,0.055264115,0.3548387096774194,0.05277885,True,2048
218,glutamatergic neuron,SYN1,0.05506456,0.12903225806451613,0.053202804,True,2048
219,glutamatergic neuron,CADM2,0.0016000271,0.4838709677419355,0.001366206,True,2048
219,glutamatergic neuron,NRXN1,0.0017723441,0.45161290322580644,0.0014365971,True,2048
219,glutamatergic neuron,NLGN1,0.00045347214,0.8387096774193549,0.0013487994,True,2048
219,glutamatergic neuron,NEGR1,0.0019323826,0.2903225806451613,0.0014391601,True,2048
219,glutamatergic neuron,TCF4,0.0023041368,0.1935483870967742,0.0015200138,True,2048
219,glutamatergic neuron,MEF2C,0.0025738478,0.03225806451612903,0.0013890882,True,2048
219,glutamatergic neuron,GRIN2A,0.001070559,0.3870967741935484,0.0010432204,True,2048
219,glutamatergic neuron,GRIN2B,0.0022425056,0.06451612903225806,0.0011539002,True,2048
219,glutamatergic neuron,MAPT,0.0018560886,0.25806451612903225,0.0013760765,True,2048
219,glutamatergic neuron,SCN1A,0.0018768907,0.3225806451612903,0.0012727678,True,2048
219,glutamatergic neuron,FOXO3,0.0017942786,0.3870967741935484,0.0013750097,True,2048
219,glutamatergic neuron,CAMK2A,0.0019353628,0.16129032258064516,0.0012881219,True,2048
219,glutamatergic neuron,HOMER1,0.0018528104,0.3870967741935484,0.0014605701,True,2048
219,glutamatergic neuron,BDNF,0.0017513633,0.45161290322580644,0.0013062616,True,2048
220,GABAergic interneuron,CADM2,0.0010291934,0.2903225806451613,0.00076233747,True,2048
220,GABAergic interneuron,NRXN1,0.0005726218,0.8064516129032258,0.001394999,True,2048
220,GABAergic interneuron,NLGN1,0.001249969,0.06451612903225806,0.0007666707,True,2048
220,GABAergic interneuron,TCF4,0.001388073,0.03225806451612903,0.00079072715,True,2048
220,GABAergic interneuron,MEF2C,0.0006878972,0.5483870967741935,0.0015208285,True,2048
220,GABAergic interneuron,APP,0.0009691715,0.3548387096774194,0.0007235666,True,2048
220,GABAergic interneuron,GRIN2A,0.0012638569,0.16129032258064516,0.0013208847,True,2048
220,GABAergic interneuron,MAPT,0.0006235838,0.6129032258064516,0.0014627576,True,2048
220,GABAergic interneuron,FOXO3,0.0005620718,0.7096774193548387,0.0029651383,True,2048
220,GABAergic interneuron,FMR1,0.0011555552,0.12903225806451613,0.0012064815,True,2048
